Estimate summary,,,,,,,,,
Upfront cost,Monthly cost,Total 12 months cost,Currency,,,,,,
0,19382.17,232586.04,USD,,,,,,
,,* Includes upfront cost,,,,,,,
,,,,,,,,,
,,,,,,,,,
Detailed Estimate,,,,,,,,,
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
My Estimate,US East (N. Virginia),,Amazon CloudFront,0,1919.4,23032.8,USD,,"Data transfer out to internet (20 TB per month), Data transfer out to origin (10 TB per month), Number of requests (HTTPS) (25000000 per month)"
My Estimate,US East (N. Virginia),,S3 Standard,0,471.04,5652.48,USD,,S3 Standard storage (20 TB per month)
My Estimate,US East (N. Virginia),,Data Transfer,0,2662.4,31948.8,USD,,"DT Inbound: All other regions (0 TB per month), DT Outbound: Internet (30 TB per month)"
My Estimate,US East (N. Virginia),,Amazon EC2 ,0,6821.12,81853.44,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 8), Advance EC2 instance (m5.12xlarge), Pricing strategy ( 3 Year  None upfront), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),,Amazon RDS for MariaDB,0,6777.36,81328.32,USD,,"Storage volume (Provisioned IOPS SSD (io1)), Provisioning IOPS (1000), Storage amount (3 TB), Quantity (2), Instance type (db.m5.4xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment selection (Multi-AZ), Pricing strategy (OnDemand), Total Size of Backup Processed for Export (GB) (1000 per month), Additional backup storage (5 TB)"
My Estimate,US East (N. Virginia),,Application Load Balancer,0,114.77,1377.24,USD,,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),,VPN Connection,0,73,876,USD,,"Working days per month (22), Number of Site-to-Site VPN Connections (2)"
My Estimate,US East (N. Virginia),,Network Address Translation (NAT) Gateway,0,110.7,1328.4,USD,,Number of NAT Gateways (2)
My Estimate,US East (N. Virginia),,Amazon Route 53,0,183,2196,USD,,"Number of Elastic Network Interfaces (2), Hosted Zones (1)"
My Estimate,US East (N. Virginia),,Amazon Elastic IP,0,0,0,USD,,"Number of EC2 instances (2), Number of EIPs per instance (1)"
My Estimate,US East (N. Virginia),,Amazon CloudWatch,0,136.2,1634.4,USD,,"Number of monitored resources (1 per hour), Number of city-networks to be monitored (1 per hour), Monthly visitors to your web application (1), Number of RUM events per visit (1), Percentage of RUM event (0.01), Number of Dashboards (), Number of Standard Resolution Alarm Metrics (), Number of High Resolution Alarm Metrics (10), Standard Logs: Data Ingested (100 GB), Logs Delivered to CloudWatch Logs: Data Ingested (100 GB), Logs Delivered to S3: Data Ingested (100 GB), GetMetricData: Number of metrics requested ()"
My Estimate,US East (N. Virginia),,Standard topics,0,113.18,1358.16,USD,,"DT Inbound: All other regions (1 TB per month), DT Outbound: Internet (1 TB per month), Requests (1 million per month), EMAIL/EMAIL-JSON Notifications (1 million per month), HTTP/HTTPS Notifications (1 million per month), SQS Notifications (1 million per month), Mobile Push Notifications (1 million per month)"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Acknowledgement,,,,,,,,,
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,,,
,,,,,,,,,
Changed to increase cost:,,,,,,,,,
"1. Amazon CloudFront: Increase Data transfer out to internet from 10 to 20TB/month, Data transfer out to origin from 5 to 10TB/month, Number of requests (HTTPS) from 15000000 to 25000000/month",,,,,,,,,
"2. S3 Standard: Increase S3 Standard storage from 10 to 20 TB/month, Data Transfer Outbound from 5 to 30TB/month",,,,,,,,,
3. EC2: Changed instance type from m5a.8xlarge to m5.12xlarge,,,,,,,,,
"4. RDS for MariaDB: Changed instance type DB from db.m5.2xlarge to db.m5.4xlarge, storage volumn io1",,,,,,,,,
5. Add service Amazon CloudWatch to monitor the system,,,,,,,,,
6. Add SNS to receive system monitoring notifications and unusual alerts,,,,,,,,,
